Productid,ProductName,Quantity,Type,Unit_Price,Existence,Salesid,Date_Sale,Producto,Cant,Client,Total,Payment_Method,ID,Productocompra,CantC,Date,Tot,DateCA,Ingresos,Egresos,Saldo
23,Black,319,Pulsera,4,Si,23,2021-01-23,Cascanueces,44,Victor hugo,306,Tarjeta de credito,23,Aretes Plateados,53,2022-02-01,159,2021-01-23,6400,2666,3734
24,Purple,141,Pulsera,5.5,Si,24,2021-01-24,Naranja verano,92,Majo mata,369,Cheque,24,Bolsas rojas,56,2021-07-01,168,2021-01-24,5686,3433,2253
25,Semi oscura,901,Pulsera,4,Si,25,2021-01-25,Pavorreal,77,Bennet Velasquez,263,Efectivo,25,Charm,62,2022-03-01,124,2021-01-25,6702,2372,4330
26,Frio,367,Pulsera,5.5,Si,26,2021-01-26,Rosado,81,Yolanda perez,164,Efectivo,26,Aretes circulares,68,2023-04-01,340,2021-01-26,3420,2861,559
27,Gold and black,200,Pulsera,5.5,Si,27,2021-01-27,Mar,79,Victor hugo,52,Efectivo,27,India,130,2021-12-01,650,2021-01-27,3458,3333,125
28,Congelado,710,Pulsera,5.5,Si,28,2021-01-28,Tribal,59,Yolanda perez,196,Tarjeta de credito,28,Carnaval,28,2021-11-01,140,2021-01-28,2556,1522,1034
29,Tipico,324,Pulsera,6,Si,29,2021-01-29,Bolsas oscuras,28,Pablo Andres,339,Efectivo,29,Tribal,119,2021-04-01,476,2021-01-29,1722,558,1164
30,Azul,544,Pulsera,5.5,Si,30,2021-01-30,Aretes coloridos,98,Majo mata,162,Efectivo,30,Frosty en casa,75,2023-08-01,375,2021-01-30,1360,2851,-1491
31,Carnaval,210,Pulsera,5.5,Si,31,2021-01-31,Aretes marmol,28,Bennet Velasquez,209,Efectivo,31,Purpura,73,2022-11-01,146,2021-01-31,3006,3891,-885
32,Colibri colorido,848,Llavero,5,Si,32,2021-02-01,Aretes turquesa,16,Kevin Garcia,41,Tarjeta de credito,32,Aqua,14,2022-03-01,70,2021-02-01,4239,3016,1223
33,Rana,412,Llavero,5,Si,33,2021-02-02,Aretes hojas,87,Yolanda perez,239,Cheque,33,Aqua,93,2021-08-01,279,2021-02-02,1711,3043,-1332
34,Cangrejo dorado,798,Llavero,5,Si,34,2021-02-03,Aretes coloridos,66,Majo mata,180,Cheque,34,Rosa,28,2021-11-01,112,2021-02-03,3624,1117,2507
35,Lorito colorido,560,Llavero,5,Si,35,2021-02-04,Lorito colorido,91,Majo mata,73,Tarjeta de credito,35,Pavorreal,109,2022-11-01,545,2021-02-04,6789,3596,3193
36,Gallo curioso,857,Llavero,5,Si,36,2021-02-05,Invierno,32,Pablo Andres,325,Efectivo,36,Elegante verde,11,2023-03-01,55,2021-02-05,5729,913,4816
37,Caballito de mar,864,Llavero,5,Si,37,2021-02-06,Aretes hojas,29,Franchesca Coronado,327,Tarjeta de credito,37,Aguila,70,2022-06-01,210,2021-02-06,6022,1619,4403
38,Maiz,752,Llavero,5,Si,38,2021-02-07,Aretes calcetin,83,Sofia ramos,68,Cheque,38,San andres,78,2022-09-01,390,2021-02-07,4682,986,3696
39,Pescado naranja,604,Llavero,5,Si,39,2021-02-08,Aretes celestes,93,Kevin Garcia,424,Cheque,39,Maiz,87,2023-06-01,435,2021-02-08,4141,610,3531
40,Gallina celeste,946,Llavero,5,Si,40,2021-02-09,Azul,31,Pablo Andres,362,Cheque,40,Soleado,83,2023-04-01,249,2021-02-09,407,3347,-2940
41,Pavorreal,504,Llavero,5,Si,41,2021-02-10,Bolsas adornadas,54,Diego Albanez,431,Cheque,41,Verano,107,2023-05-01,535,2021-02-10,1137,2338,-1201
42,Buho,975,Llavero,5,Si,42,2021-02-11,Bolsas adornadas,72,Diego Albanez,140,Cheque,42,Azul,42,2021-11-01,168,2021-02-11,5747,3935,1812
43,Cerdo volador,194,Llavero,5,Si,43,2021-02-12,Flores otoño,40,Pablo Andres,468,Tarjeta de credito,43,Turquesa,116,2023-04-01,232,2021-02-12,4241,3572,669
44,Aretes celestes,665,Aretes,6,Si,44,2021-02-13,Aretes purpura,34,Kevin Garcia,33,Tarjeta de credito,44,Congelado,142,2021-05-01,568,2021-02-13,3472,2945,527
45,Pajaro rojo,116,Llavero,5,Si,45,2021-02-14,Aretes morados,53,Kevin ovando,150,Efectivo,45,Turquesa,31,2021-04-01,93,2021-02-14,6144,3085,3059
46,Bolsas naranjas,925,Aretes,5.5,Si,46,2021-02-15,Verde oscuro,92,Kevin Garcia,438,Cheque,46,Papa noel,34,2021-11-01,102,2021-02-15,3446,1057,2389
47,Aretes oscuros,119,Aretes,5.5,Si,47,2021-02-16,Bolsas rojas,99,Kevin Garcia,477,Efectivo,47,Xelaju,12,2023-09-01,60,2021-02-16,624,3076,-2452
48,Bolsas amarillas,515,Aretes,6,Si,48,2021-02-17,Bolsas oscuras,45,Bennet Velasquez,254,Tarjeta de credito,48,Aretes celestes,74,2022-09-01,370,2021-02-17,4162,2378,1784
49,Bolsas coloridas,426,Aretes,6,Si,49,2021-02-18,Aretes calcetin,57,Pablo Andres,433,Cheque,49,Congelado,136,2021-09-01,408,2021-02-18,3837,2400,1437
50,Invierno,896,Aretes,6,Si,50,2021-02-19,Aretes marmol,17,Yolanda perez,329,Efectivo,50,Bolsas naranjas,26,2021-12-01,78,2021-02-19,5756,1565,4191
51,Aretes turquesa,126,Aretes,6,Si,51,2021-02-20,Aquamarino,51,Franchesca Coronado,187,Efectivo,51,Bolsas rojas,119,2022-10-01,238,2021-02-20,1734,3482,-1748
52,Verde oscuro,255,Aretes,6,Si,52,2021-02-21,Bolsas pequeñas,65,Bennet Velasquez,138,Efectivo,52,Invierno,49,2021-12-01,196,2021-02-21,1123,1987,-864
53,Bolsas pequeñas,771,Aretes,6,Si,53,2021-02-22,Bolsas amarillentas,23,Pablo Andres,278,Cheque,53,Cerdo volador,70,2022-01-01,210,2021-02-22,6334,557,5777
54,Aretes elegantes,295,Aretes,6.5,Si,54,2021-02-23,Frio,50,Bennet Velasquez,480,Cheque,54,Aretes calcetin,84,2021-03-01,336,2021-02-23,921,1946,-1025
55,Aretes morados,175,Aretes,6,Si,55,2021-02-24,Tipico,59,Pablo Andres,345,Cheque,55,Collar simple morado,46,2021-05-01,138,2021-02-24,586,1355,-769
56,Bolsas oscuras,439,Aretes,6.5,Si,56,2021-02-25,Collar simple morado,80,Kevin Garcia,86,Tarjeta de credito,56,Bolsas amarillas,34,2022-12-01,136,2021-02-25,6106,2081,4025
57,Bolsas adornadas,536,Aretes,6.5,Si,57,2021-02-26,Morado claro,97,Bennet Velasquez,213,Tarjeta de credito,57,Charm,137,2021-08-01,274,2021-02-26,5105,3235,1870
58,Bolsas rosadas,824,Aretes,6.5,Si,58,2021-02-27,Aretes celestes,75,Kevin ovando,95,Cheque,58,Aretes verano,85,2022-07-01,255,2021-02-27,6973,1882,5091
59,Aretes hojas,573,Aretes,6.5,Si,59,2021-02-28,Aretes purpura,72,Bennet Velasquez,272,Efectivo,59,Xelaju,101,2021-10-01,202,2021-02-28,443,652,-209
60,Aretes azules,970,Aretes,6.5,Si,60,2021-03-01,Verde oscuro,27,Pablo Andres,244,Efectivo,60,Purple,104,2022-05-01,416,2021-03-01,3765,2326,1439
61,Aretes europa,825,Aretes,6.5,Si,61,2021-03-02,Flores otoño,86,Victor hugo,296,Efectivo,61,Morado claro,11,2021-02-01,33,2021-03-02,3497,2027,1470
62,Aretes sombrero,499,Aretes,6,Si,62,2021-03-03,Aretes oscuros,99,Victor hugo,178,Tarjeta de credito,62,Cangrejo dorado,99,2021-09-01,297,2021-03-03,6492,3968,2524
63,Bolsas rojas,175,Aretes,6.5,Si,63,2021-03-04,Aretes calcetin,32,Kevin Garcia,414,Tarjeta de credito,63,Flor primavera,123,2023-06-01,246,2021-03-04,2607,2475,132
64,Guardia,455,Aretes,6,Si,64,2021-03-05,Azul oscuro,12,Sofia ramos,221,Tarjeta de credito,64,Pajaro rojo,51,2022-02-01,204,2021-03-05,239,3076,-2837
65,Aretes grandes beige,737,Aretes,6.5,Si,65,2021-03-06,Blue,93,Kevin Garcia,491,Cheque,65,Aquamarino,58,2021-01-01,232,2021-03-06,798,1436,-638
66,Bolsas con dorado,388,Aretes,6,Si,66,2021-03-07,San andres,71,Majo mata,141,Tarjeta de credito,66,Aretes europa,82,2021-11-01,328,2021-03-07,3135,3683,-548
67,Aguila,402,Collar,8,Si,67,2021-03-08,Congelado,83,Pablo Andres,394,Cheque,67,Bolsas coloridas,21,2021-02-01,42,2021-03-08,5826,915,4911
68,Aretes lila,920,Aretes,6,Si,68,2021-03-09,Aretes oscuros,53,Sofia ramos,476,Efectivo,68,Frosty trio,145,2023-01-01,290,2021-03-09,6934,3085,3849
69,Azul oscuro,689,Aretes,6.5,Si,69,2021-03-10,Semi oscura,26,Sofia ramos,58,Efectivo,69,Pajaro rojo,75,2022-09-01,225,2021-03-10,4221,2425,1796
70,Aretes calidos,966,Aretes,6,Si,70,2021-03-11,Gallo curioso,41,Franchesca Coronado,251,Cheque,70,Soleado,58,2022-02-01,116,2021-03-11,3124,2794,330
71,Aretes circulares,508,Aretes,6,Si,71,2021-03-12,San andres,94,Pablo Andres,352,Efectivo,71,Aretes elegantes,123,2021-06-01,246,2021-03-12,4344,2357,1987
72,Aretes invierno,759,Aretes,6,Si,72,2021-03-13,Triangular,35,Victor hugo,357,Cheque,72,Antigua,50,2022-10-01,100,2021-03-13,3707,594,3113
73,Aretes Plateados,755,Aretes,6,Si,73,2021-03-14,Guardia,32,Victor hugo,456,Tarjeta de credito,73,San andres,79,2021-01-01,316,2021-03-14,2668,2411,257
74,Aretes verano,924,Aretes,6.5,Si,74,2021-03-15,Aguila,63,Bennet Velasquez,116,Tarjeta de credito,74,Caballito de mar,20,2021-09-01,100,2021-03-15,3482,2640,842
75,Aretes coloridos,849,Aretes,6,Si,75,2021-03-16,Verano,98,Majo mata,241,Tarjeta de credito,75,Tipico,45,2021-12-01,225,2021-03-16,1499,958,541
76,Aretes piedra,428,Aretes,6,Si,76,2021-03-17,Elegancia,70,Diego Albanez,82,Tarjeta de credito,76,Frio,115,2022-06-01,575,2021-03-17,6094,3987,2107
77,Aretes marmol,766,Aretes,6,Si,77,2021-03-18,Aretes elegantes,82,Victor hugo,450,Tarjeta de credito,77,Gold and black,62,2021-09-01,124,2021-03-18,4065,647,3418
78,Aretes calcetin,366,Aretes,6.5,Si,78,2021-03-19,Aretes azules,52,Kevin ovando,413,Tarjeta de credito,78,Rana,15,2022-11-01,30,2021-03-19,5208,2158,3050
79,Bolsas amarillentas,939,Aretes,6,Si,79,2021-03-20,Flor primavera,26,Victor hugo,408,Efectivo,79,Papa noel,135,2022-07-01,270,2021-03-20,6959,2317,4642
80,Aretes purpura,798,Aretes,6,Si,80,2021-03-21,Morado claro,70,Diego Albanez,12,Efectivo,80,Mar,136,2022-01-01,272,2021-03-21,2694,3108,-414
81,San andres,536,Collar,8.5,Si,81,2021-03-22,Bolsas coloridas,70,Kevin Garcia,373,Cheque,81,Tejido,54,2021-08-01,216,2021-03-22,4621,1354,3267
82,Antigua,950,Collar,9,Si,82,2021-03-23,Aretes piedra,53,Kevin ovando,164,Efectivo,82,Verano,121,2021-02-01,484,2021-03-23,2335,2376,-41
83,Chichicastenango,633,Collar,9,Si,83,2021-03-24,Frosty trio,56,Sofia ramos,159,Efectivo,83,Aretes hojas,29,2023-08-01,58,2021-03-24,694,1424,-730
84,San marcos,205,Collar,9,Si,84,2021-03-25,Aretes invierno,19,Kevin Garcia,182,Cheque,84,Chimaltenango,29,2023-07-01,87,2021-03-25,2799,1174,1625
85,Xelaju,816,Collar,9,Si,85,2021-03-26,Frio,44,Yolanda perez,437,Efectivo,85,Xelaju,38,2023-04-01,190,2021-03-26,6941,2852,4089
86,Cuello,513,Collar,9,Si,86,2021-03-27,Aretes lila,94,Franchesca Coronado,467,Cheque,86,Bolsas oscuras,90,2022-05-01,270,2021-03-27,3075,2110,965
87,Tribal,845,Collar,9,Si,87,2021-03-28,Naranja verano,58,Franchesca Coronado,265,Tarjeta de credito,87,Frosty trio,86,2021-03-01,172,2021-03-28,3327,1618,1709
88,Adornado,278,Collar,9.5,Si,88,2021-03-29,Frosty trio,36,Bennet Velasquez,180,Tarjeta de credito,88,Calido,108,2021-06-01,540,2021-03-29,787,2968,-2181
89,Aguas escondidas,660,Collar,9,Si,89,2021-03-30,Adornado,53,Franchesca Coronado,50,Cheque,89,Aretes celestes,12,2023-08-01,36,2021-03-30,5311,2234,3077
90,Blanco y negro,927,Collar,9,Si,90,2021-03-31,Verde oscuro,83,Majo mata,495,Efectivo,90,Collar calido,139,2022-12-01,556,2021-03-31,109,3398,-3289
91,Chimaltenango,814,Collar,9,Si,91,2021-04-01,Tipico,45,Victor hugo,368,Tarjeta de credito,91,Congelado,61,2021-04-01,244,2021-04-01,2804,1576,1228
92,Tejido,872,Collar,9,Si,92,2021-04-02,Aretes verano,85,Bennet Velasquez,166,Cheque,92,Quiche,62,2023-01-01,186,2021-04-02,4871,1234,3637
93,Rosa,850,Collar,9.5,Si,93,2021-04-03,Bolsas amarillentas,33,Majo mata,345,Efectivo,93,Aqua,63,2021-07-01,189,2021-04-03,958,2861,-1903
94,Guatemala,984,Collar,9,Si,94,2021-04-04,Antigua,23,Diego Albanez,398,Cheque,94,Rosa,84,2022-03-01,420,2021-04-04,3119,1209,1910
95,Flor,829,Collar,9,Si,95,2021-04-05,Frio,68,Diego Albanez,431,Cheque,95,Aretes coloridos,17,2023-04-01,68,2021-04-05,4057,3671,386
96,Flor primavera,165,Collar,8.5,Si,96,2021-04-06,Papa noel,92,Sofia ramos,212,Efectivo,96,Aretes purpura,104,2022-01-01,416,2021-04-06,6673,2259,4414
97,Flores verano,342,Collar,9,Si,97,2021-04-07,Quiche,44,Bennet Velasquez,192,Tarjeta de credito,97,Aretes calcetin,139,2021-01-01,278,2021-04-07,2425,1663,762
98,Flores otoño,155,Collar,9,Si,98,2021-04-08,Calido,72,Diego Albanez,424,Efectivo,98,Aguila,94,2023-08-01,376,2021-04-08,4719,2932,1787
99,Purpura,304,Collar,9,Si,99,2021-04-09,Tejido,86,Diego Albanez,382,Cheque,99,Collar simple morado,50,2022-01-01,150,2021-04-09,3786,2034,1752
100,Rosado,579,Collar,9,Si,100,2021-04-10,Aretes calcetin,49,Kevin Garcia,120,Efectivo,100,Bolsas amarillas,104,2023-01-01,208,2021-04-10,3778,3550,228
101,Triangular,146,Collar,9,Si,101,2021-04-11,Morado claro,63,Victor hugo,342,Efectivo,101,Cuello,109,2021-09-01,545,2021-04-11,6254,1307,4947
102,Elegante verde,576,Collar,9.5,Si,102,2021-04-12,Pavorreal,34,Yolanda perez,432,Efectivo,102,Tejido,103,2021-11-01,309,2021-04-12,5112,3503,1609
103,Blue,226,Collar,9,Si,103,2021-04-13,Frosty trio,73,Diego Albanez,253,Cheque,103,Frosty trio,109,2023-07-01,218,2021-04-13,3218,1481,1737
104,Aquamarino,624,Collar,9.5,Si,104,2021-04-14,Aretes elegantes,72,Pablo Andres,44,Cheque,104,Turquesa,33,2022-10-01,165,2021-04-14,3108,902,2206
105,La mirada,521,Collar,9,Si,105,2021-04-15,Aretes sombrero,36,Pablo Andres,157,Cheque,105,Pajaro rojo,129,2023-08-01,387,2021-04-15,1244,2507,-1263
106,Collar calido,796,Collar,9,Si,106,2021-04-16,Baw,79,Sofia ramos,284,Efectivo,106,Aretes turquesa,73,2021-01-01,365,2021-04-16,2925,3138,-213
107,Morado claro,687,Collar,9,Si,107,2021-04-17,India,58,Kevin Garcia,433,Cheque,107,Cerdo volador,56,2022-08-01,112,2021-04-17,581,2598,-2017
108,Mar,652,Collar,9,Si,108,2021-04-18,Naturaleza,19,Majo mata,209,Tarjeta de credito,108,Aretes sombrero,135,2023-07-01,540,2021-04-18,4089,1334,2755
109,Naranja verano,863,Collar,9,Si,109,2021-04-19,Invierno,21,Bennet Velasquez,489,Cheque,109,Gallo curioso,136,2023-05-01,408,2021-04-19,1644,1934,-290
110,Collar simple morado,849,Collar,9,Si,110,2021-04-20,Bolsas amarillentas,87,Franchesca Coronado,276,Cheque,110,Aretes circulares,114,2022-11-01,570,2021-04-20,6050,2078,3972
,,,,,,111,2021-04-21,Aretes turquesa,32,Kevin Garcia,348,Tarjeta de credito,111,Nebaj,125,2023-04-01,500,2021-04-21,532,897,-365
,,,,,,112,2021-04-22,Black,75,Sofia ramos,93,Efectivo,112,Azul,21,2023-01-01,84,2021-04-22,2831,921,1910
,,,,,,113,2021-04-23,Congelado,50,Diego Albanez,264,Efectivo,113,Aretes europa,142,2021-08-01,710,2021-04-23,1765,3602,-1837
,,,,,,114,2021-04-24,Chichicastenango,16,Bennet Velasquez,245,Cheque,114,Aretes piedra,141,2021-11-01,282,2021-04-24,974,577,397
,,,,,,115,2021-04-25,Mar,98,Kevin ovando,74,Cheque,115,Aquamarino,91,2022-10-01,455,2021-04-25,6719,1337,5382
,,,,,,116,2021-04-26,Baw,22,Kevin Garcia,129,Cheque,116,White,127,2021-03-01,381,2021-04-26,6362,3758,2604
,,,,,,117,2021-04-27,Frosty trio,54,Franchesca Coronado,422,Cheque,117,Azul,118,2022-03-01,236,2021-04-27,280,2569,-2289
,,,,,,118,2021-04-28,Aguas escondidas,96,Franchesca Coronado,78,Tarjeta de credito,118,Guardia,127,2022-05-01,254,2021-04-28,4224,1361,2863
,,,,,,119,2021-04-29,Blue,15,Victor hugo,333,Efectivo,119,Lorito colorido,55,2021-12-01,165,2021-04-29,4120,2157,1963
,,,,,,120,2021-04-30,Aguas escondidas,43,Kevin Garcia,398,Tarjeta de credito,120,San marcos,108,2021-10-01,216,2021-04-30,1222,609,613
,,,,,,121,2021-05-01,Purple,40,Victor hugo,450,Efectivo,121,Mar,33,2021-02-01,66,2021-05-01,2222,3977,-1755
,,,,,,122,2021-05-02,Aretes coloridos,69,Kevin Garcia,61,Tarjeta de credito,122,Rana,99,2023-05-01,297,2021-05-02,2908,2683,225
,,,,,,123,2021-05-03,Aretes invierno,63,Sofia ramos,321,Tarjeta de credito,123,Purpura,10,2022-10-01,40,2021-05-03,1490,1928,-438
,,,,,,124,2021-05-04,Frio,93,Franchesca Coronado,357,Tarjeta de credito,124,Caballito de mar,57,2022-07-01,114,2021-05-04,1795,965,830
,,,,,,125,2021-05-05,Cascanueces viejo,87,Sofia ramos,304,Cheque,125,Aretes sombrero,80,2022-09-01,240,2021-05-05,4144,1185,2959
,,,,,,126,2021-05-06,Naranja verano,66,Victor hugo,223,Efectivo,126,Aqua,102,2021-02-01,306,2021-05-06,2660,3579,-919
,,,,,,127,2021-05-07,India,89,Franchesca Coronado,399,Efectivo,127,San andres,50,2021-09-01,150,2021-05-07,4919,2471,2448
,,,,,,128,2021-05-08,Aretes lila,31,Victor hugo,363,Tarjeta de credito,128,Bolsas coloridas,34,2021-03-01,170,2021-05-08,5847,2620,3227
,,,,,,129,2021-05-09,Solola,37,Yolanda perez,470,Tarjeta de credito,129,Tribal,149,2023-05-01,447,2021-05-09,6166,3009,3157
,,,,,,130,2021-05-10,Xelaju,43,Sofia ramos,321,Cheque,130,Bolsas rojas,91,2023-06-01,182,2021-05-10,862,3118,-2256
,,,,,,131,2021-05-11,Congelado,69,Bennet Velasquez,82,Cheque,131,Aretes purpura,116,2022-10-01,348,2021-05-11,2105,2969,-864
,,,,,,132,2021-05-12,Charm,51,Yolanda perez,385,Tarjeta de credito,132,Invierno,89,2021-08-01,267,2021-05-12,1736,1756,-20
,,,,,,133,2021-05-13,Lorito colorido,60,Diego Albanez,91,Cheque,133,Bolsas adornadas,78,2021-06-01,390,2021-05-13,1456,2883,-1427
,,,,,,134,2021-05-14,Colibri colorido,68,Yolanda perez,428,Tarjeta de credito,134,Aguas escondidas,54,2022-08-01,216,2021-05-14,5071,509,4562
,,,,,,135,2021-05-15,Blue,44,Diego Albanez,145,Cheque,135,Caballito de mar,21,2022-06-01,105,2021-05-15,4648,1318,3330
,,,,,,136,2021-05-16,Nebaj,83,Bennet Velasquez,256,Tarjeta de credito,136,Bolsas amarillentas,30,2022-08-01,150,2021-05-16,947,2126,-1179
,,,,,,137,2021-05-17,Rosado,15,Kevin ovando,18,Efectivo,137,Semi oscura,34,2022-10-01,170,2021-05-17,6601,1059,5542
,,,,,,138,2021-05-18,Aretes sombrero,19,Yolanda perez,490,Efectivo,138,Pavorreal,46,2021-04-01,92,2021-05-18,3071,743,2328
,,,,,,139,2021-05-19,Aretes calcetin,30,Kevin Garcia,63,Cheque,139,Solola,65,2021-07-01,260,2021-05-19,3271,2878,393
,,,,,,140,2021-05-20,Adornado,79,Bennet Velasquez,136,Cheque,140,Mar,84,2022-02-01,420,2021-05-20,6197,2503,3694
,,,,,,141,2021-05-21,Antigua,48,Kevin Garcia,332,Cheque,141,Colibri colorido,59,2022-05-01,236,2021-05-21,1704,1175,529
,,,,,,142,2021-05-22,Cangrejo dorado,76,Kevin ovando,93,Efectivo,142,Gallo curioso,68,2023-08-01,272,2021-05-22,3785,2225,1560
,,,,,,143,2021-05-23,Azul,74,Kevin Garcia,464,Tarjeta de credito,143,Chichicastenango,30,2022-05-01,60,2021-05-23,3753,3959,-206
,,,,,,144,2021-05-24,Guatemala,40,Kevin Garcia,159,Efectivo,144,Adornado,143,2021-07-01,572,2021-05-24,5678,1209,4469
,,,,,,145,2021-05-25,Aretes marmol,54,Bennet Velasquez,108,Tarjeta de credito,145,Cuello,28,2021-09-01,56,2021-05-25,1654,1525,129
,,,,,,146,2021-05-26,Aretes lila,28,Diego Albanez,78,Tarjeta de credito,146,Aretes turquesa,86,2022-01-01,172,2021-05-26,3785,1740,2045
,,,,,,147,2021-05-27,Blanco y negro,41,Bennet Velasquez,98,Efectivo,147,Guatemala,121,2023-02-01,363,2021-05-27,2861,3623,-762
,,,,,,148,2021-05-28,Invierno,90,Majo mata,261,Efectivo,148,Dorado,34,2023-05-01,170,2021-05-28,3900,2871,1029
,,,,,,149,2021-05-29,Bolsas rojas,81,Diego Albanez,215,Efectivo,149,Buho,101,2022-11-01,303,2021-05-29,3366,757,2609
,,,,,,150,2021-05-30,Aretes turquesa,10,Victor hugo,281,Cheque,150,Aqua,50,2023-01-01,150,2021-05-30,153,3639,-3486
,,,,,,151,2021-05-31,Tejido,47,Franchesca Coronado,441,Tarjeta de credito,151,White,149,2022-11-01,447,2021-05-31,4575,2815,1760
,,,,,,152,2021-06-01,Tribal,33,Majo mata,200,Cheque,152,Guatemala,45,2021-11-01,180,2021-06-01,2739,1466,1273
,,,,,,153,2021-06-02,Purple,60,Sofia ramos,214,Cheque,153,Aretes europa,126,2021-04-01,252,2021-06-02,6469,685,5784
,,,,,,154,2021-06-03,Azul,42,Pablo Andres,329,Cheque,154,Pescado naranja,34,2022-09-01,68,2021-06-03,4399,584,3815
,,,,,,155,2021-06-04,Chichicastenango,46,Bennet Velasquez,210,Tarjeta de credito,155,Bolsas rojas,85,2022-03-01,425,2021-06-04,5535,2332,3203
,,,,,,156,2021-06-05,Purple,84,Kevin ovando,81,Cheque,156,Guatemala,25,2021-11-01,125,2021-06-05,3864,2916,948
,,,,,,157,2021-06-06,Verde oscuro,95,Victor hugo,238,Efectivo,157,Flores otoño,135,2022-03-01,540,2021-06-06,3264,3021,243
,,,,,,158,2021-06-07,Solola,43,Bennet Velasquez,499,Efectivo,158,Adornado,61,2022-08-01,183,2021-06-07,3401,1344,2057
